"locality","month","variable","clim_value"
"Niksek",7,"ppt",228.216666666667
"Niksek",8,"tmin",20.8527777777778
"Niksek",8,"tmax",30.9083333333333
"Niksek",8,"tavg",25.8805555555556
"Niksek",8,"ppt",249.416666666667
"Niksek",9,"tmin",21.1527777777778
"Niksek",9,"tmax",30.9916666666667
"Niksek",9,"tavg",26.0722222222222
"Niksek",9,"ppt",231.958333333333
"Niksek",10,"tmin",21.2666666666667
"Niksek",10,"tmax",31.1055555555556
"Niksek",10,"tavg",26.1861111111111
"Niksek",10,"ppt",276.930555555556
"Niksek",11,"tmin",21.3805555555556
"Niksek",11,"tmax",31.6833333333333
"Niksek",11,"tavg",26.5319444444444
"Niksek",11,"ppt",265.858333333333
"Niksek",12,"tmin",21.3888888888889
"Niksek",12,"tmax",31.1722222222222
"Niksek",12,"tavg",26.2805555555556
"Niksek",12,"ppt",309.908333333333
"Ohu",1,"tmin",22.0611111111111
"Ohu",1,"tmax",30.3416666666667
"Ohu",1,"tavg",26.2013888888889
"Ohu",1,"ppt",330.555555555556
"Ohu",2,"tmin",22.0694444444444
"Ohu",2,"tmax",30.1666666666667
"Ohu",2,"tavg",26.1180555555556
"Ohu",2,"ppt",335.675
"Ohu",3,"tmin",22.0444444444444
"Ohu",3,"tmax",29.8972222222222
"Ohu",3,"tavg",25.9708333333333
"Ohu",3,"ppt",342.369444444444
"Ohu",4,"tmin",21.8416666666667
"Ohu",4,"tmax",29.7722222222222
"Ohu",4,"tavg",25.8069444444444
"Ohu",4,"ppt",300.316666666667
"Ohu",5,"tmin",21.7222222222222
"Ohu",5,"tmax",29.6833333333333
"Ohu",5,"tavg",25.7027777777778
"Ohu",5,"ppt",215.913888888889
"Ohu",6,"tmin",21.325
"Ohu",6,"tmax",29.1972222222222
"Ohu",6,"tavg",25.2611111111111
"Ohu",6,"ppt",152.327777777778
"Ohu",7,"tmin",20.9111111111111
"Ohu",7,"tmax",28.7611111111111
"Ohu",7,"tavg",24.8361111111111
"Ohu",7,"ppt",121.411111111111
"Ohu",8,"tmin",21.0916666666667
"Ohu",8,"tmax",28.9555555555556
"Ohu",8,"tavg",25.0236111111111
"Ohu",8,"ppt",117.875
"Ohu",9,"tmin",21.4055555555556
"Ohu",9,"tmax",29.6944444444444
"Ohu",9,"tavg",25.55
"Ohu",9,"ppt",162.497222222222
"Ohu",10,"tmin",21.6416666666667
"Ohu",10,"tmax",30.0416666666667
"Ohu",10,"tavg",25.8416666666667
"Ohu",10,"ppt",198.294444444444
"Ohu",11,"tmin",21.6277777777778
"Ohu",11,"tmax",30.4194444444444
"Ohu",11,"tavg",26.0236111111111
"Ohu",11,"ppt",265.752777777778
"Ohu",12,"tmin",21.9638888888889
"Ohu",12,"tmax",30.0444444444444
"Ohu",12,"tavg",26.0041666666667
"Ohu",12,"ppt",315.155555555556
"Utai",1,"tmin",21.9666666666667
"Utai",1,"tmax",29.8972222222222
"Utai",1,"tavg",25.9319444444444
"Utai",1,"ppt",221.972222222222
"Utai",2,"tmin",22.0666666666667
"Utai",2,"tmax",29.7555555555556
"Utai",2,"tavg",25.9111111111111
"Utai",2,"ppt",217.466666666667
"Utai",3,"tmin",22.05
"Utai",3,"tmax",29.7
"Utai",3,"tavg",25.875
"Utai",3,"ppt",278.730555555556
"Utai",4,"tmin",21.9694444444444
"Utai",4,"tmax",29.9305555555556
"Utai",4,"tavg",25.95
"Utai",4,"ppt",220.677777777778
"Utai",5,"tmin",21.9388888888889
"Utai",5,"tmax",29.7944444444444
"Utai",5,"tavg",25.8666666666667
"Utai",5,"ppt",202.744444444444
"Utai",6,"tmin",21.5416666666667
"Utai",6,"tmax",29.1138888888889
"Utai",6,"tavg",25.3277777777778
"Utai",6,"ppt",127.511111111111
"Utai",7,"tmin",21.3333333333333
"Utai",7,"tmax",28.7916666666667
"Utai",7,"tavg",25.0625
"Utai",7,"ppt",126.919444444444
"Utai",8,"tmin",21.4444444444444
"Utai",8,"tmax",29.0944444444444
"Utai",8,"tavg",25.2694444444444
"Utai",8,"ppt",159.127777777778
"Utai",9,"tmin",21.6527777777778
"Utai",9,"tmax",29.375
"Utai",9,"tavg",25.5138888888889
"Utai",9,"ppt",165.161111111111
"Utai",10,"tmin",21.7888888888889
"Utai",10,"tmax",29.8833333333333
"Utai",10,"tavg",25.8361111111111
"Utai",10,"ppt",206.330555555556
"Utai",11,"tmin",21.9138888888889
"Utai",11,"tmax",30.175
"Utai",11,"tavg",26.0444444444444
"Utai",11,"ppt",209.747222222222
"Utai",12,"tmin",21.8777777777778
"Utai",12,"tmax",29.9361111111111
"Utai",12,"tavg",25.9069444444444
"Utai",12,"ppt",246.725
"Wamangu",1,"tmin",22.0666666666667
"Wamangu",1,"tmax",31.6
"Wamangu",1,"tavg",26.8333333333333
"Wamangu",1,"ppt",158.352777777778
"Wamangu",2,"tmin",21.9833333333333
"Wamangu",2,"tmax",31.1194444444444
"Wamangu",2,"tavg",26.5513888888889
"Wamangu",2,"ppt",156.722222222222
"Wamangu",3,"tmin",21.7527777777778
"Wamangu",3,"tmax",31.1638888888889
"Wamangu",3,"tavg",26.4583333333333
"Wamangu",3,"ppt",195.222222222222
"Wamangu",4,"tmin",21.7638888888889
"Wamangu",4,"tmax",31.3694444444444
"Wamangu",4,"tavg",26.5666666666667
"Wamangu",4,"ppt",180.211111111111
"Wamangu",5,"tmin",21.8194444444444
"Wamangu",5,"tmax",31.675
"Wamangu",5,"tavg",26.7472222222222
"Wamangu",5,"ppt",168.508333333333
"Wamangu",6,"tmin",21.4305555555556
"Wamangu",6,"tmax",31.275
"Wamangu",6,"tavg",26.3527777777778
"Wamangu",6,"ppt",101.575
"Wamangu",7,"tmin",21.0194444444444
"Wamangu",7,"tmax",31.0861111111111
"Wamangu",7,"tavg",26.0527777777778
"Wamangu",7,"ppt",96.4472222222222
"Wamangu",8,"tmin",20.925
"Wamangu",8,"tmax",31.9
"Wamangu",8,"tavg",26.4125
"Wamangu",8,"ppt",103.036111111111
"Wamangu",9,"tmin",21.2194444444444
"Wamangu",9,"tmax",31.9527777777778
"Wamangu",9,"tavg",26.5861111111111
"Wamangu",9,"ppt",116.505555555556
"Wamangu",10,"tmin",21.775
"Wamangu",10,"tmax",31.6388888888889
"Wamangu",10,"tavg",26.7069444444444
"Wamangu",10,"ppt",182.225
"Wamangu",11,"tmin",21.7638888888889
"Wamangu",11,"tmax",31.6388888888889
"Wamangu",11,"tavg",26.7013888888889
"Wamangu",11,"ppt",202.161111111111
"Wamangu",12,"tmin",22.0805555555556
"Wamangu",12,"tmax",31.4305555555556
"Wamangu",12,"tavg",26.7555555555556
"Wamangu",12,"ppt",188.088888888889
"Wanang",1,"tmin",20.9694444444444
"Wanang",1,"tmax",30.1666666666667
"Wanang",1,"tavg",25.5680555555556
"Wanang",1,"ppt",381.533333333333
"Wanang",2,"tmin",21.0666666666667
"Wanang",2,"tmax",30.2194444444444
"Wanang",2,"tavg",25.6430555555556
"Wanang",2,"ppt",366.338888888889
"Wanang",3,"tmin",21.0444444444444
"Wanang",3,"tmax",30.0555555555556
"Wanang",3,"tavg",25.55
"Wanang",3,"ppt",380.636111111111
"Wanang",4,"tmin",20.9555555555556
"Wanang",4,"tmax",30.0083333333333
"Wanang",4,"tavg",25.4819444444444
"Wanang",4,"ppt",318.244444444444
"Wanang",5,"tmin",20.9416666666667
"Wanang",5,"tmax",29.8944444444444
"Wanang",5,"tavg",25.4180555555556
"Wanang",5,"ppt",235.516666666667
"Wanang",6,"tmin",20.3388888888889
"Wanang",6,"tmax",29.6972222222222
"Wanang",6,"tavg",25.0180555555556
"Wanang",6,"ppt",144.638888888889
"Wanang",7,"tmin",19.9555555555556
"Wanang",7,"tmax",29.1611111111111
"Wanang",7,"tavg",24.5583333333333
"Wanang",7,"ppt",128.427777777778
"Wanang",8,"tmin",20.3583333333333
"Wanang",8,"tmax",29.4861111111111
"Wanang",8,"tavg",24.9222222222222
"Wanang",8,"ppt",135.175
"Wanang",9,"tmin",20.5416666666667
"Wanang",9,"tmax",30.1277777777778
"Wanang",9,"tavg",25.3347222222222
"Wanang",9,"ppt",177.047222222222
"Wanang",10,"tmin",20.7444444444444
"Wanang",10,"tmax",30.3194444444444
"Wanang",10,"tavg",25.5319444444444
"Wanang",10,"ppt",218.438888888889
"Wanang",11,"tmin",20.7666666666667
"Wanang",11,"tmax",30.5333333333333
"Wanang",11,"tavg",25.65
"Wanang",11,"ppt",298.286111111111
"Wanang",12,"tmin",21.0666666666667
"Wanang",12,"tmax",30.0972222222222
"Wanang",12,"tavg",25.5819444444444
"Wanang",12,"ppt",367.430555555556
"Yapsiei",1,"tmin",21.8805555555556
"Yapsiei",1,"tmax",31.0583333333333
"Yapsiei",1,"tavg",26.4694444444444
"Yapsiei",1,"ppt",334.086111111111
"Yapsiei",2,"tmin",21.8694444444444
"Yapsiei",2,"tmax",30.7583333333333
"Yapsiei",2,"tavg",26.3138888888889
"Yapsiei",2,"ppt",344.15
"Yapsiei",3,"tmin",21.7555555555556
"Yapsiei",3,"tmax",30.7305555555556
"Yapsiei",3,"tavg",26.2430555555556
"Yapsiei",3,"ppt",367.111111111111
"Yapsiei",4,"tmin",21.8444444444444
"Yapsiei",4,"tmax",30.8055555555556
"Yapsiei",4,"tavg",26.325
"Yapsiei",4,"ppt",340.583333333333
"Yapsiei",5,"tmin",21.8472222222222
"Yapsiei",5,"tmax",30.4805555555556
"Yapsiei",5,"tavg",26.1638888888889
"Yapsiei",5,"ppt",270.325
"Yapsiei",6,"tmin",21.5111111111111
"Yapsiei",6,"tmax",30.0305555555556
"Yapsiei",6,"tavg",25.7708333333333
"Yapsiei",6,"ppt",223.688888888889
"Yapsiei",7,"tmin",21.3555555555556
"Yapsiei",7,"tmax",29.3472222222222
"Yapsiei",7,"tavg",25.3513888888889
"Yapsiei",7,"ppt",285.627777777778
"Yapsiei",8,"tmin",21.3805555555556
"Yapsiei",8,"tmax",29.6527777777778
"Yapsiei",8,"tavg",25.5166666666667
"Yapsiei",8,"ppt",299.044444444444
"Yapsiei",9,"tmin",21.4388888888889
"Yapsiei",9,"tmax",30.1611111111111
"Yapsiei",9,"tavg",25.8
"Yapsiei",9,"ppt",297.122222222222
"Yapsiei",10,"tmin",21.6722222222222
"Yapsiei",10,"tmax",30.7916666666667
"Yapsiei",10,"tavg",26.2319444444444
"Yapsiei",10,"ppt",277.711111111111
"Yapsiei",11,"tmin",21.7138888888889
"Yapsiei",11,"tmax",31.3805555555556
"Yapsiei",11,"tavg",26.5472222222222
"Yapsiei",11,"ppt",252.794444444444
"Yapsiei",12,"tmin",21.7805555555556
"Yapsiei",12,"tmax",30.9944444444444
"Yapsiei",12,"tavg",26.3875
"Yapsiei",12,"ppt",293.977777777778
