"locality","month","year","variable","value"
"Niksek",4,1970,"tmin",21.3
"Niksek",4,1970,"tmax",30.8
"Niksek",4,1970,"tavg",26.05
"Niksek",4,1970,"ppt",359
"Niksek",5,1970,"tmin",21.3
"Niksek",5,1970,"tmax",30.5
"Niksek",5,1970,"tavg",25.9
"Niksek",5,1970,"ppt",209
"Niksek",6,1970,"tmin",21.6
"Niksek",6,1970,"tmax",30.2
"Niksek",6,1970,"tavg",25.9
"Niksek",6,1970,"ppt",140.9
"Niksek",7,1970,"tmin",20.6
"Niksek",7,1970,"tmax",29.5
"Niksek",7,1970,"tavg",25.05
"Niksek",7,1970,"ppt",145.6
"Niksek",8,1970,"tmin",20.6
"Niksek",8,1970,"tmax",30.4
"Niksek",8,1970,"tavg",25.5
"Niksek",8,1970,"ppt",178.6
"Niksek",9,1970,"tmin",20.8
"Niksek",9,1970,"tmax",30.4
"Niksek",9,1970,"tavg",25.6
"Niksek",9,1970,"ppt",232.5
"Niksek",10,1970,"tmin",21.1
"Niksek",10,1970,"tmax",29.8
"Niksek",10,1970,"tavg",25.45
"Niksek",10,1970,"ppt",328.4
"Niksek",11,1970,"tmin",21.1
"Niksek",11,1970,"tmax",30.7
"Niksek",11,1970,"tavg",25.9
"Niksek",11,1970,"ppt",235.5
"Niksek",12,1970,"tmin",21
"Niksek",12,1970,"tmax",30.2
"Niksek",12,1970,"tavg",25.6
"Niksek",12,1970,"ppt",345.8
"Ohu",1,1970,"tmin",21.8
"Ohu",1,1970,"tmax",30
"Ohu",1,1970,"tavg",25.9
"Ohu",1,1970,"ppt",274
"Ohu",2,1970,"tmin",22
"Ohu",2,1970,"tmax",29.5
"Ohu",2,1970,"tavg",25.75
"Ohu",2,1970,"ppt",417.2
"Ohu",3,1970,"tmin",22
"Ohu",3,1970,"tmax",29.3
"Ohu",3,1970,"tavg",25.65
"Ohu",3,1970,"ppt",423.9
"Ohu",4,1970,"tmin",21.8
"Ohu",4,1970,"tmax",29.4
"Ohu",4,1970,"tavg",25.6
"Ohu",4,1970,"ppt",279.4
"Ohu",5,1970,"tmin",21.7
"Ohu",5,1970,"tmax",29.3
"Ohu",5,1970,"tavg",25.5
"Ohu",5,1970,"ppt",173
"Ohu",6,1970,"tmin",21.5
"Ohu",6,1970,"tmax",29.6
"Ohu",6,1970,"tavg",25.55
"Ohu",6,1970,"ppt",66.1
"Ohu",7,1970,"tmin",20.9
"Ohu",7,1970,"tmax",28.7
"Ohu",7,1970,"tavg",24.8
"Ohu",7,1970,"ppt",72.5
"Ohu",8,1970,"tmin",21.3
"Ohu",8,1970,"tmax",29.5
"Ohu",8,1970,"tavg",25.4
"Ohu",8,1970,"ppt",36.1
"Ohu",9,1970,"tmin",21.5
"Ohu",9,1970,"tmax",29.8
"Ohu",9,1970,"tavg",25.65
"Ohu",9,1970,"ppt",120.9
"Ohu",10,1970,"tmin",21.6
"Ohu",10,1970,"tmax",29.7
"Ohu",10,1970,"tavg",25.65
"Ohu",10,1970,"ppt",282
"Ohu",11,1970,"tmin",21.4
"Ohu",11,1970,"tmax",30.2
"Ohu",11,1970,"tavg",25.8
"Ohu",11,1970,"ppt",196.3
"Ohu",12,1970,"tmin",21.8
"Ohu",12,1970,"tmax",29.7
"Ohu",12,1970,"tavg",25.75
"Ohu",12,1970,"ppt",370.8
"Utai",1,1970,"tmin",21.8
"Utai",1,1970,"tmax",29.1
"Utai",1,1970,"tavg",25.45
"Utai",1,1970,"ppt",198.2
"Utai",2,1970,"tmin",21.9
"Utai",2,1970,"tmax",28.3
"Utai",2,1970,"tavg",25.1
"Utai",2,1970,"ppt",327.1
"Utai",3,1970,"tmin",21.8
"Utai",3,1970,"tmax",28.2
"Utai",3,1970,"tavg",25
"Utai",3,1970,"ppt",349.5
"Utai",4,1970,"tmin",21.9
"Utai",4,1970,"tmax",29
"Utai",4,1970,"tavg",25.45
"Utai",4,1970,"ppt",235.3
"Utai",5,1970,"tmin",21.7
"Utai",5,1970,"tmax",29
"Utai",5,1970,"tavg",25.35
"Utai",5,1970,"ppt",204
"Utai",6,1970,"tmin",21.5
"Utai",6,1970,"tmax",28.4
"Utai",6,1970,"tavg",24.95
"Utai",6,1970,"ppt",113.1
"Utai",7,1970,"tmin",21
"Utai",7,1970,"tmax",28.2
"Utai",7,1970,"tavg",24.6
"Utai",7,1970,"ppt",96.3
"Utai",8,1970,"tmin",21.1
"Utai",8,1970,"tmax",28.1
"Utai",8,1970,"tavg",24.6
"Utai",8,1970,"ppt",148.6
"Utai",9,1970,"tmin",21.3
"Utai",9,1970,"tmax",28.3
"Utai",9,1970,"tavg",24.8
"Utai",9,1970,"ppt",224.6
"Utai",10,1970,"tmin",21.4
"Utai",10,1970,"tmax",28.5
"Utai",10,1970,"tavg",24.95
"Utai",10,1970,"ppt",252.6
"Utai",11,1970,"tmin",21.4
"Utai",11,1970,"tmax",29
"Utai",11,1970,"tavg",25.2
"Utai",11,1970,"ppt",201.8
"Utai",12,1970,"tmin",21.5
"Utai",12,1970,"tmax",28.8
"Utai",12,1970,"tavg",25.15
"Utai",12,1970,"ppt",232.6
"Wamangu",1,1970,"tmin",21.7
"Wamangu",1,1970,"tmax",31.1
"Wamangu",1,1970,"tavg",26.4
"Wamangu",1,1970,"ppt",146.5
"Wamangu",2,1970,"tmin",21.9
"Wamangu",2,1970,"tmax",29.7
"Wamangu",2,1970,"tavg",25.8
"Wamangu",2,1970,"ppt",265.4
"Wamangu",3,1970,"tmin",21.6
"Wamangu",3,1970,"tmax",30.3
"Wamangu",3,1970,"tavg",25.95
"Wamangu",3,1970,"ppt",248.2
"Wamangu",4,1970,"tmin",21.7
"Wamangu",4,1970,"tmax",31.2
"Wamangu",4,1970,"tavg",26.45
"Wamangu",4,1970,"ppt",182.4
"Wamangu",5,1970,"tmin",21.6
"Wamangu",5,1970,"tmax",31.1
"Wamangu",5,1970,"tavg",26.35
"Wamangu",5,1970,"ppt",157.3
"Wamangu",6,1970,"tmin",21.6
"Wamangu",6,1970,"tmax",30.9
"Wamangu",6,1970,"tavg",26.25
"Wamangu",6,1970,"ppt",89.5
"Wamangu",7,1970,"tmin",20.8
"Wamangu",7,1970,"tmax",30.7
"Wamangu",7,1970,"tavg",25.75
"Wamangu",7,1970,"ppt",71.2
"Wamangu",8,1970,"tmin",20.7
"Wamangu",8,1970,"tmax",31.3
"Wamangu",8,1970,"tavg",26
"Wamangu",8,1970,"ppt",95.8
"Wamangu",9,1970,"tmin",20.9
"Wamangu",9,1970,"tmax",31.2
"Wamangu",9,1970,"tavg",26.05
"Wamangu",9,1970,"ppt",152
"Wamangu",10,1970,"tmin",21.5
"Wamangu",10,1970,"tmax",30.7
"Wamangu",10,1970,"tavg",26.1
"Wamangu",10,1970,"ppt",222.2
"Wamangu",11,1970,"tmin",21.3
"Wamangu",11,1970,"tmax",31.1
"Wamangu",11,1970,"tavg",26.2
"Wamangu",11,1970,"ppt",161.7
"Wamangu",12,1970,"tmin",21.9
"Wamangu",12,1970,"tmax",30.8
"Wamangu",12,1970,"tavg",26.35
"Wamangu",12,1970,"ppt",189.3
"Wanang",1,1970,"tmin",20.6
"Wanang",1,1970,"tmax",29.7
"Wanang",1,1970,"tavg",25.15
"Wanang",1,1970,"ppt",375.5
"Wanang",2,1970,"tmin",21.1
"Wanang",2,1970,"tmax",28.8
"Wanang",2,1970,"tavg",24.95
"Wanang",2,1970,"ppt",396.7
"Wanang",3,1970,"tmin",21.2
"Wanang",3,1970,"tmax",28.8
"Wanang",3,1970,"tavg",25
"Wanang",3,1970,"ppt",508.8
"Wanang",4,1970,"tmin",20.9
"Wanang",4,1970,"tmax",29.6
"Wanang",4,1970,"tavg",25.25
"Wanang",4,1970,"ppt",299.3
"Wanang",5,1970,"tmin",20.6
"Wanang",5,1970,"tmax",29.6
"Wanang",5,1970,"tavg",25.1
"Wanang",5,1970,"ppt",177
"Wanang",6,1970,"tmin",20.5
"Wanang",6,1970,"tmax",30.4
"Wanang",6,1970,"tavg",25.45
"Wanang",6,1970,"ppt",65.3
"Wanang",7,1970,"tmin",19.8
"Wanang",7,1970,"tmax",29.4
"Wanang",7,1970,"tavg",24.6
"Wanang",7,1970,"ppt",76.3
"Wanang",8,1970,"tmin",20.3
"Wanang",8,1970,"tmax",30.6
"Wanang",8,1970,"tavg",25.45
"Wanang",8,1970,"ppt",38.3
"Wanang",9,1970,"tmin",20.6
"Wanang",9,1970,"tmax",30.7
"Wanang",9,1970,"tavg",25.65
"Wanang",9,1970,"ppt",138.6
"Wanang",10,1970,"tmin",20.7
"Wanang",10,1970,"tmax",29.2
"Wanang",10,1970,"tavg",24.95
"Wanang",10,1970,"ppt",314
"Wanang",11,1970,"tmin",20.4
"Wanang",11,1970,"tmax",30.2
"Wanang",11,1970,"tavg",25.3
"Wanang",11,1970,"ppt",231.4
"Wanang",12,1970,"tmin",20.8
"Wanang",12,1970,"tmax",29.2
"Wanang",12,1970,"tavg",25
"Wanang",12,1970,"ppt",414.4
"Yapsiei",1,1970,"tmin",21.5
"Yapsiei",1,1970,"tmax",30.3
"Yapsiei",1,1970,"tavg",25.9
"Yapsiei",1,1970,"ppt",367
"Yapsiei",2,1970,"tmin",21.8
"Yapsiei",2,1970,"tmax",29.3
"Yapsiei",2,1970,"tavg",25.55
"Yapsiei",2,1970,"ppt",312.4
"Yapsiei",3,1970,"tmin",21.6
"Yapsiei",3,1970,"tmax",29.4
"Yapsiei",3,1970,"tavg",25.5
"Yapsiei",3,1970,"ppt",447.3
"Yapsiei",4,1970,"tmin",21.8
"Yapsiei",4,1970,"tmax",29.7
"Yapsiei",4,1970,"tavg",25.75
"Yapsiei",4,1970,"ppt",455.4
"Yapsiei",5,1970,"tmin",21.5
"Yapsiei",5,1970,"tmax",29.9
"Yapsiei",5,1970,"tavg",25.7
"Yapsiei",5,1970,"ppt",224.1
"Yapsiei",6,1970,"tmin",21.5
"Yapsiei",6,1970,"tmax",29.8
"Yapsiei",6,1970,"tavg",25.65
"Yapsiei",6,1970,"ppt",184.1
"Yapsiei",7,1970,"tmin",20.9
"Yapsiei",7,1970,"tmax",28.7
"Yapsiei",7,1970,"tavg",24.8
"Yapsiei",7,1970,"ppt",213.3
"Yapsiei",8,1970,"tmin",21.1
"Yapsiei",8,1970,"tmax",29
"Yapsiei",8,1970,"tavg",25.05
"Yapsiei",8,1970,"ppt",277.2
"Yapsiei",9,1970,"tmin",21
"Yapsiei",9,1970,"tmax",29.5
"Yapsiei",9,1970,"tavg",25.25
"Yapsiei",9,1970,"ppt",326.6
"Yapsiei",10,1970,"tmin",21.6
"Yapsiei",10,1970,"tmax",29.5
"Yapsiei",10,1970,"tavg",25.55
"Yapsiei",10,1970,"ppt",325.5
"Yapsiei",11,1970,"tmin",21.2
"Yapsiei",11,1970,"tmax",30.2
"Yapsiei",11,1970,"tavg",25.7
"Yapsiei",11,1970,"ppt",270.9
"Yapsiei",12,1970,"tmin",21.4
"Yapsiei",12,1970,"tmax",29.8
"Yapsiei",12,1970,"tavg",25.6
"Yapsiei",12,1970,"ppt",324.2
"Elem",1,1971,"tmin",19.9
"Elem",1,1971,"tmax",30.5
"Elem",1,1971,"tavg",25.2
"Elem",1,1971,"ppt",319.1
"Elem",2,1971,"tmin",19.5
"Elem",2,1971,"tmax",30.6
"Elem",2,1971,"tavg",25.05
"Elem",2,1971,"ppt",252.5
"Elem",3,1971,"tmin",19.9
"Elem",3,1971,"tmax",30.2
"Elem",3,1971,"tavg",25.05
"Elem",3,1971,"ppt",370
"Elem",4,1971,"tmin",19.8
"Elem",4,1971,"tmax",30
"Elem",4,1971,"tavg",24.9
"Elem",4,1971,"ppt",296.8
"Elem",5,1971,"tmin",19.8
"Elem",5,1971,"tmax",30.3
"Elem",5,1971,"tavg",25.05
"Elem",5,1971,"ppt",348.9
"Elem",6,1971,"tmin",19.5
"Elem",6,1971,"tmax",30
"Elem",6,1971,"tavg",24.75
"Elem",6,1971,"ppt",144.9
"Elem",7,1971,"tmin",19
"Elem",7,1971,"tmax",29.8
"Elem",7,1971,"tavg",24.4
"Elem",7,1971,"ppt",107.9
"Elem",8,1971,"tmin",18.8
"Elem",8,1971,"tmax",30.7
"Elem",8,1971,"tavg",24.75
"Elem",8,1971,"ppt",97
"Elem",9,1971,"tmin",19.7
"Elem",9,1971,"tmax",30.9
"Elem",9,1971,"tavg",25.3
"Elem",9,1971,"ppt",151.7
"Elem",10,1971,"tmin",19.6
"Elem",10,1971,"tmax",30.9
"Elem",10,1971,"tavg",25.25
"Elem",10,1971,"ppt",283.3
"Elem",11,1971,"tmin",19.9
"Elem",11,1971,"tmax",30.5
"Elem",11,1971,"tavg",25.2
"Elem",11,1971,"ppt",321.8
"Elem",12,1971,"tmin",20.2
"Elem",12,1971,"tmax",30.3
"Elem",12,1971,"tavg",25.25
"Elem",12,1971,"ppt",415.6
"Morox",1,1971,"tmin",21.5
"Morox",1,1971,"tmax",30.9
"Morox",1,1971,"tavg",26.2
"Morox",1,1971,"ppt",242.2
"Morox",2,1971,"tmin",21.4
"Morox",2,1971,"tmax",31.1
"Morox",2,1971,"tavg",26.25
"Morox",2,1971,"ppt",163
"Morox",3,1971,"tmin",21.4
"Morox",3,1971,"tmax",30.8
"Morox",3,1971,"tavg",26.1
"Morox",3,1971,"ppt",208.2
"Morox",4,1971,"tmin",21.2
"Morox",4,1971,"tmax",30.7
"Morox",4,1971,"tavg",25.95
"Morox",4,1971,"ppt",322.2
"Morox",5,1971,"tmin",21.4
"Morox",5,1971,"tmax",31.5
"Morox",5,1971,"tavg",26.45
"Morox",5,1971,"ppt",173.4
"Morox",6,1971,"tmin",20.9
"Morox",6,1971,"tmax",30.9
"Morox",6,1971,"tavg",25.9
"Morox",6,1971,"ppt",103.5
"Morox",7,1971,"tmin",20.5
"Morox",7,1971,"tmax",30.8
"Morox",7,1971,"tavg",25.65
"Morox",7,1971,"ppt",107.3
"Morox",8,1971,"tmin",20.7
"Morox",8,1971,"tmax",31.7
"Morox",8,1971,"tavg",26.2
"Morox",8,1971,"ppt",74.6
"Morox",9,1971,"tmin",20.9
"Morox",9,1971,"tmax",31.5
"Morox",9,1971,"tavg",26.2
"Morox",9,1971,"ppt",104.7
"Morox",10,1971,"tmin",21.6
"Morox",10,1971,"tmax",31.6
"Morox",10,1971,"tavg",26.6
"Morox",10,1971,"ppt",182.5
"Morox",11,1971,"tmin",21.6
"Morox",11,1971,"tmax",31.3
"Morox",11,1971,"tavg",26.45
"Morox",11,1971,"ppt",243
"Morox",12,1971,"tmin",21.7
"Morox",12,1971,"tmax",31.3
"Morox",12,1971,"tavg",26.5
"Morox",12,1971,"ppt",278.8
"Niksek",1,1971,"tmin",20.5
"Niksek",1,1971,"tmax",30.6
"Niksek",1,1971,"tavg",25.55
"Niksek",1,1971,"ppt",259.9
"Niksek",2,1971,"tmin",20.4
"Niksek",2,1971,"tmax",30.2
"Niksek",2,1971,"tavg",25.3
"Niksek",2,1971,"ppt",226.8
"Niksek",3,1971,"tmin",20.5
"Niksek",3,1971,"tmax",30.6
"Niksek",3,1971,"tavg",25.55
"Niksek",3,1971,"ppt",346
"Niksek",4,1971,"tmin",20.7
"Niksek",4,1971,"tmax",30.5
"Niksek",4,1971,"tavg",25.6
"Niksek",4,1971,"ppt",325.7
"Niksek",5,1971,"tmin",20.9
"Niksek",5,1971,"tmax",30.3
"Niksek",5,1971,"tavg",25.6
"Niksek",5,1971,"ppt",344.5
"Niksek",6,1971,"tmin",20.6
"Niksek",6,1971,"tmax",29.7
"Niksek",6,1971,"tavg",25.15
"Niksek",6,1971,"ppt",185.7
"Niksek",7,1971,"tmin",20.1
"Niksek",7,1971,"tmax",29.2
"Niksek",7,1971,"tavg",24.65
"Niksek",7,1971,"ppt",181.6
"Niksek",8,1971,"tmin",20.1
"Niksek",8,1971,"tmax",30.3
"Niksek",8,1971,"tavg",25.2
"Niksek",8,1971,"ppt",185.7
"Niksek",9,1971,"tmin",20.9
"Niksek",9,1971,"tmax",30.5
"Niksek",9,1971,"tavg",25.7
"Niksek",9,1971,"ppt",216.5
"Niksek",10,1971,"tmin",20.7
"Niksek",10,1971,"tmax",30.1
"Niksek",10,1971,"tavg",25.4
"Niksek",10,1971,"ppt",287.7
"Niksek",11,1971,"tmin",20.8
"Niksek",11,1971,"tmax",30.6
"Niksek",11,1971,"tavg",25.7
"Niksek",11,1971,"ppt",310.2
"Niksek",12,1971,"tmin",20.7
"Niksek",12,1971,"tmax",30.4
"Niksek",12,1971,"tavg",25.55
"Niksek",12,1971,"ppt",378.7
"Ohu",1,1971,"tmin",21.7
"Ohu",1,1971,"tmax",29.5
"Ohu",1,1971,"tavg",25.6
"Ohu",1,1971,"ppt",257.9
"Ohu",2,1971,"tmin",21.4
"Ohu",2,1971,"tmax",29.6
"Ohu",2,1971,"tavg",25.5
"Ohu",2,1971,"ppt",197.1
"Ohu",3,1971,"tmin",21.6
"Ohu",3,1971,"tmax",29.4
"Ohu",3,1971,"tavg",25.5
"Ohu",3,1971,"ppt",372.2
"Ohu",4,1971,"tmin",21.4
"Ohu",4,1971,"tmax",28.9
"Ohu",4,1971,"tavg",25.15
"Ohu",4,1971,"ppt",353.5
"Ohu",5,1971,"tmin",21.2
"Ohu",5,1971,"tmax",29
"Ohu",5,1971,"tavg",25.1
"Ohu",5,1971,"ppt",278.6
"Ohu",6,1971,"tmin",20.8
"Ohu",6,1971,"tmax",28.3
"Ohu",6,1971,"tavg",24.55
"Ohu",6,1971,"ppt",176.8
"Ohu",7,1971,"tmin",20.5
"Ohu",7,1971,"tmax",28.4
"Ohu",7,1971,"tavg",24.45
"Ohu",7,1971,"ppt",101.4
"Ohu",8,1971,"tmin",21
"Ohu",8,1971,"tmax",29.1
"Ohu",8,1971,"tavg",25.05
"Ohu",8,1971,"ppt",63.5
"Ohu",9,1971,"tmin",21.4
"Ohu",9,1971,"tmax",29.8
"Ohu",9,1971,"tavg",25.6
"Ohu",9,1971,"ppt",108.4
"Ohu",10,1971,"tmin",21.4
"Ohu",10,1971,"tmax",29.7
"Ohu",10,1971,"tavg",25.55
"Ohu",10,1971,"ppt",210.6
"Ohu",11,1971,"tmin",21.3
"Ohu",11,1971,"tmax",30.1
"Ohu",11,1971,"tavg",25.7
"Ohu",11,1971,"ppt",249.2
"Ohu",12,1971,"tmin",21.7
"Ohu",12,1971,"tmax",29.8
"Ohu",12,1971,"tavg",25.75
"Ohu",12,1971,"ppt",326.4
"Utai",1,1971,"tmin",21.4
"Utai",1,1971,"tmax",28.8
"Utai",1,1971,"tavg",25.1
"Utai",1,1971,"ppt",259.3
"Utai",2,1971,"tmin",21.1
"Utai",2,1971,"tmax",29
"Utai",2,1971,"tavg",25.05
"Utai",2,1971,"ppt",249.2
"Utai",3,1971,"tmin",21.7
"Utai",3,1971,"tmax",28.9
"Utai",3,1971,"tavg",25.3
"Utai",3,1971,"ppt",270.5
"Utai",4,1971,"tmin",21.4
"Utai",4,1971,"tmax",28.7
"Utai",4,1971,"tavg",25.05
"Utai",4,1971,"ppt",220.6
"Utai",5,1971,"tmin",21.2
"Utai",5,1971,"tmax",28.4
"Utai",5,1971,"tavg",24.8
"Utai",5,1971,"ppt",230.8
"Utai",6,1971,"tmin",20.8
"Utai",6,1971,"tmax",28
"Utai",6,1971,"tavg",24.4
"Utai",6,1971,"ppt",145.7
"Utai",7,1971,"tmin",20.7
"Utai",7,1971,"tmax",27.7
"Utai",7,1971,"tavg",24.2
"Utai",7,1971,"ppt",122.7
"Utai",8,1971,"tmin",20.8
"Utai",8,1971,"tmax",28.2
"Utai",8,1971,"tavg",24.5
"Utai",8,1971,"ppt",132.8
"Utai",9,1971,"tmin",21.3
"Utai",9,1971,"tmax",28.4
"Utai",9,1971,"tavg",24.85
"Utai",9,1971,"ppt",138.5
"Utai",10,1971,"tmin",21.2
"Utai",10,1971,"tmax",28.5
"Utai",10,1971,"tavg",24.85
"Utai",10,1971,"ppt",235.3
"Utai",11,1971,"tmin",21.2
"Utai",11,1971,"tmax",29
"Utai",11,1971,"tavg",25.1
"Utai",11,1971,"ppt",211
"Utai",12,1971,"tmin",21.3
"Utai",12,1971,"tmax",28.9
"Utai",12,1971,"tavg",25.1
"Utai",12,1971,"ppt",217.5
"Wamangu",1,1971,"tmin",21.4
"Wamangu",1,1971,"tmax",30.6
"Wamangu",1,1971,"tavg",26
"Wamangu",1,1971,"ppt",180.5
"Wamangu",2,1971,"tmin",21.1
"Wamangu",2,1971,"tmax",30.7
"Wamangu",2,1971,"tavg",25.9
"Wamangu",2,1971,"ppt",132.7
"Wamangu",3,1971,"tmin",21.3
"Wamangu",3,1971,"tmax",30.5
"Wamangu",3,1971,"tavg",25.9
"Wamangu",3,1971,"ppt",201.3
"Wamangu",4,1971,"tmin",21.2
"Wamangu",4,1971,"tmax",30.4
"Wamangu",4,1971,"tavg",25.8
"Wamangu",4,1971,"ppt",205.6
"Wamangu",5,1971,"tmin",21.4
"Wamangu",5,1971,"tmax",31.1
"Wamangu",5,1971,"tavg",26.25
"Wamangu",5,1971,"ppt",198.2
"Wamangu",6,1971,"tmin",20.8
"Wamangu",6,1971,"tmax",30.4
"Wamangu",6,1971,"tavg",25.6
"Wamangu",6,1971,"ppt",116.9
"Wamangu",7,1971,"tmin",20.6
"Wamangu",7,1971,"tmax",30.2
"Wamangu",7,1971,"tavg",25.4
"Wamangu",7,1971,"ppt",111.6
"Wamangu",8,1971,"tmin",20.4
"Wamangu",8,1971,"tmax",31.3
"Wamangu",8,1971,"tavg",25.85
"Wamangu",8,1971,"ppt",103.7
"Wamangu",9,1971,"tmin",21
"Wamangu",9,1971,"tmax",31.3
"Wamangu",9,1971,"tavg",26.15
"Wamangu",9,1971,"ppt",129.6
"Wamangu",10,1971,"tmin",21.4
"Wamangu",10,1971,"tmax",30.9
"Wamangu",10,1971,"tavg",26.15
"Wamangu",10,1971,"ppt",213.5
"Wamangu",11,1971,"tmin",21.2
"Wamangu",11,1971,"tmax",31
"Wamangu",11,1971,"tavg",26.1
"Wamangu",11,1971,"ppt",230.5
"Wamangu",12,1971,"tmin",21.6
"Wamangu",12,1971,"tmax",30.7
"Wamangu",12,1971,"tavg",26.15
"Wamangu",12,1971,"ppt",218.6
"Wanang",1,1971,"tmin",20.5
"Wanang",1,1971,"tmax",29.5
"Wanang",1,1971,"tavg",25
"Wanang",1,1971,"ppt",264.4
"Wanang",2,1971,"tmin",20.2
"Wanang",2,1971,"tmax",30.3
"Wanang",2,1971,"tavg",25.25
"Wanang",2,1971,"ppt",206.5
"Wanang",3,1971,"tmin",20.4
"Wanang",3,1971,"tmax",29.3
"Wanang",3,1971,"tavg",24.85
"Wanang",3,1971,"ppt",394.7
"Wanang",4,1971,"tmin",20.3
"Wanang",4,1971,"tmax",29
"Wanang",4,1971,"tavg",24.65
"Wanang",4,1971,"ppt",349.6
"Wanang",5,1971,"tmin",20.4
"Wanang",5,1971,"tmax",29
"Wanang",5,1971,"tavg",24.7
"Wanang",5,1971,"ppt",297.8
"Wanang",6,1971,"tmin",19.6
"Wanang",6,1971,"tmax",28.5
"Wanang",6,1971,"tavg",24.05
"Wanang",6,1971,"ppt",166.8
"Wanang",7,1971,"tmin",19.2
"Wanang",7,1971,"tmax",28.6
"Wanang",7,1971,"tavg",23.9
"Wanang",7,1971,"ppt",144.4
"Wanang",8,1971,"tmin",19.6
"Wanang",8,1971,"tmax",29.8
"Wanang",8,1971,"tavg",24.7
"Wanang",8,1971,"ppt",71.8
"Wanang",9,1971,"tmin",20.5
"Wanang",9,1971,"tmax",30.6
"Wanang",9,1971,"tavg",25.55
"Wanang",9,1971,"ppt",99.1
